Year,Month,Day,Sunspots_Mean
1749,1,27,96.7
1749,2,25,104.3
1749,3,27,116.7
1749,4,26,92.8
1749,5,27,141.7
1749,6,26,139.2
1749,7,27,158
1749,8,27,110.5
1749,9,26,126.5
1749,10,27,125.8
1749,11,26,264.3
1749,12,27,142
1750,1,27,122.2
1750,2,25,126.5
1750,3,27,148.7
1750,4,27,147.2
1750,5,27,150
1750,6,27,166.7
1750,7,27,142.3
1750,8,27,171.7
1750,9,27,152
1750,10,27,109.5
1750,11,27,105.5
1750,12,27,125.7
1751,1,27,116.7
1751,2,26,72.5
1751,3,27,75.5
1751,4,27,94
1751,5,27,101.2
1751,6,27,84.5
1751,7,27,110.5
1751,8,27,99.7
1751,9,27,39.2
1751,10,27,38.7
1751,11,27,47.5
1751,12,28,73.3
1752,1,27,58.3
1752,2,26,83.3
1752,3,27,118.3
1752,4,27,98.8
1752,5,27,99.5
1752,6,27,66
1752,7,27,130.7
1752,8,27,48.8
1752,9,27,45.2
1752,10,27,77.7
1752,11,26,62.7
1752,12,27,66.7
1753,1,27,73.3
1753,2,25,53.3
1753,3,27,76.2
1753,4,26,63.3
1753,5,27,60
1753,6,26,52.8
1753,7,27,36.7
1753,8,27,65
1753,9,26,46.7
1753,10,27,41.7
1753,11,26,33.3
1753,12,27,11.2
1754,1,27,0
1754,2,25,5
1754,3,27,2.8
1754,4,27,22.8
1754,5,27,34.5
1754,6,27,44.5
1754,7,27,31.3
1754,8,27,20.5
1754,9,27,13.7
1754,10,27,40.2
1754,11,27,22
1754,12,27,7
1755,1,27,17
1755,2,26,18.7
1755,3,27,11.3
1755,4,27,10.8
1755,5,27,0
1755,6,27,0
1755,7,27,14.3
1755,8,27,5.3
1755,9,27,29.7
1755,10,27,39.5
1755,11,27,11.3
1755,12,28,33.3
1756,1,27,20.8
1756,2,26,11.8
1756,3,27,9
1756,4,27,15.7
1756,5,27,20.8
1756,6,27,21.5
1756,7,27,6
1756,8,27,10.7
1756,9,27,19.7
1756,10,27,23.8
1756,11,26,28.3
1756,12,27,15.7
1757,1,27,23.5
1757,2,25,35.3
1757,3,27,43.7
1757,4,26,50
1757,5,27,63.5
1757,6,26,21.3
1757,7,27,41.7
1757,8,27,85.5
1757,9,26,66.2
1757,10,27,54.2
1757,11,26,107.8
1757,12,27,55.8
1758,1,27,62.7
1758,2,25,86.7
1758,3,27,81.7
1758,4,27,120.5
1758,5,27,77.3
1758,6,27,75
1758,7,27,73.3
1758,8,27,64.5
1758,9,27,104.2
1758,10,27,62.8
1758,11,27,71.7
1758,12,27,71.7
1759,1,27,80.5
1759,2,26,73.3
1759,3,27,78
1759,4,27,78.3
1759,5,27,81.7
1759,6,27,83.3
1759,7,27,85
1759,8,27,118.8
1759,9,27,128.7
1759,10,27,99.5
1759,11,27,77.2
1759,12,28,95
1760,1,27,112.2
1760,2,26,99.2
1760,3,27,124.5
1760,4,27,97.2
1760,5,27,120
1760,6,27,80.5
1760,7,27,110
1760,8,27,126
1760,9,27,102.2
1760,10,27,84.3
1760,11,26,99.5
1760,12,27,101.7
1761,1,27,116.7
1761,2,25,151.7
1761,3,27,134.5
1761,4,26,119.5
1761,5,27,178.7
1761,6,26,165.5
1761,7,27,156.8
1761,8,27,151.8
1761,9,26,167.8
1761,10,27,147.8
1761,11,26,149.5
1761,12,27,76.7
1762,1,27,73
1762,2,25,121.3
1762,3,27,76.2
1762,4,27,100.3
1762,5,27,66.5
1762,6,27,128.5
1762,7,27,56.3
1762,8,27,112.8
1762,9,27,114.2
1762,10,27,115.5
1762,11,27,129.7
1762,12,27,128.7
1763,1,27,94.2
1763,2,26,53.2
1763,3,27,57
